topology,load_tier,row_count,experiment_count,false_positive_rate,specificity,normal_recall,anomaly_prediction_rate
local,high,127,1,0.3779527559055118,0.6220472440944882,0.6220472440944882,0.3779527559055118
local,low,134,1,0.373134328358209,0.6268656716417911,0.6268656716417911,0.373134328358209
local,medium,133,1,0.37593984962406013,0.6240601503759399,0.6240601503759399,0.37593984962406013
remote,high,178,1,0.47191011235955055,0.5280898876404494,0.5280898876404494,0.47191011235955055
remote,low,127,1,0.7007874015748031,0.2992125984251969,0.2992125984251969,0.7007874015748031
remote,medium,128,1,0.5078125,0.4921875,0.4921875,0.5078125
