variant,feature_count,val_anomaly_f1,val_pr_auc,val_balanced_accuracy,test_anomaly_f1,test_pr_auc,test_balanced_accuracy
all_features,27,0.7348837209302326,0.8277006563935629,0.8126032607001465,0.7774086378737541,0.8449130374700579,0.8400504938817632
minus_datapath_stats,18,0.5027932960893855,0.5647160426034289,0.6629103151594501,0.4982456140350877,0.5383568353679429,0.6467178976853899
minus_ct_gc,20,0.6745562130177515,0.844549063837566,0.7550266529505283,0.7033898305084746,0.8288834894501728,0.771625755565384
minus_k8s_events,21,0.7224669603524229,0.8263125510646964,0.8105458399576047,0.7375415282392026,0.8231799372636129,0.8119102904319623
minus_topology_backend,22,0.6721311475409836,0.7953161289344653,0.7811340752517223,0.6987951807228916,0.8096512731580152,0.7919430930266844
