variant,feature_count,val_macro_f1,val_balanced_accuracy,test_macro_f1,test_balanced_accuracy
all_features,27,0.37219458264234384,0.3744389709906952,0.4180792349889056,0.4158730158730158
minus_datapath_stats,18,0.17345861233110135,0.19540229885057472,0.23391812865497075,0.25
minus_ct_gc,20,0.3346330697403613,0.3909140667761357,0.39492228221419906,0.4611111111111111
minus_k8s_events,21,0.38913030677736565,0.41174055829228245,0.40820304585668943,0.42936507936507934
minus_topology_backend,22,0.3560649298843168,0.3561850027367269,0.3748492354684343,0.3619047619047619
