window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active,experiment_type,split,is_baseline_experiment,traffic_probe_total,traffic_probe_success,traffic_probe_success_rate,event_count,source_artifact_dir
1779525467967,1779525468967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,242,20,4,0,4,4,20,20,202,20,0,0,0,0,0,0,0,601,601,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,control_plane_recovery,event_manifest,1,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525468967,1779525469967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,77,25,5,0,5,5,25,25,27,25,0,0,0,0,0,0,0,606,606,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,control_plane_recovery,event_manifest,0,1,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525469967,1779525470967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,89,20,4,0,4,4,20,20,49,20,0,0,0,0,0,0,0,610,610,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,control_plane_recovery,event_manifest,0,1,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525470967,1779525471967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,64,20,4,0,4,4,20,20,24,20,0,0,0,0,0,0,0,614,614,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,control_plane_recovery,event_manifest,0,1,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525471967,1779525472967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,117,25,5,0,5,5,25,25,67,25,0,0,0,0,0,0,0,619,619,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,control_plane_recovery,event_manifest,0,1,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525472967,1779525473967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,62,20,3,0,3,3,20,20,22,20,0,0,0,0,0,0,0,622,622,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,control_plane_recovery,event_manifest,0,1,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525473967,1779525474967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,86,20,4,0,4,4,20,20,46,20,0,0,0,0,0,0,0,626,626,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525474967,1779525475967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,77,25,5,0,5,5,25,25,27,25,0,0,0,0,0,0,0,631,631,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525475967,1779525476967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,92,20,3,0,3,3,20,20,52,20,0,0,0,0,0,0,0,634,634,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525476967,1779525477967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,69,20,4,0,4,4,20,20,29,20,0,0,0,0,0,0,0,638,638,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
