ts_unix_ms,ok
1779537280504,1
1779537280736,1
1779537280971,1
1779537281203,1
1779537281435,1
1779537281666,1
1779537281898,1
1779537282133,1
1779537282361,1
1779537282590,1
1779537282829,1
1779537283059,1
1779537283286,0
1779537283515,0
1779537283744,1
1779537283974,1
1779537284201,1
1779537284432,1
1779537284664,1
1779537284895,1
1779537285129,1
1779537285359,1
1779537285591,1
1779537285822,1
1779537286050,0
1779537286278,0
1779537286505,0
1779537286739,0
1779537286970,0
1779537287198,0
1779537287426,0
1779537287654,0
1779537287880,0
1779537288107,0
1779537288341,0
1779537288570,1
1779537288801,1
1779537289029,1
1779537289262,1
1779537289498,1
1779537289737,1
1779537289967,1
1779537290197,1
1779537290426,1
1779537290655,1
1779537290885,1
1779537291117,1
1779537291347,1
1779537291583,1
1779537291811,1
1779537292041,1
1779537292268,1
1779537292502,1
1779537292733,1
1779537292963,1
1779537293192,1
1779537293424,1
1779537293656,1
1779537293887,1
1779537294117,1
1779537294344,1
1779537294572,1
1779537294803,1
1779537295032,1
1779537295261,1
1779537295493,1
1779537295723,1
1779537295956,1
1779537296186,1
1779537296416,1
1779537296654,1
1779537296883,1
1779537297113,1
1779537297342,1
1779537297573,1
1779537297801,1
1779537298032,1
