variant,feature_count,test_macro_f1,test_balanced_accuracy,delta_vs_all
all_features,27,0.4180792349889056,0.4158730158730158,0.0
minus_datapath_stats,18,0.2339181286549707,0.25,-0.1841611063339349
minus_ct_gc,20,0.394922282214199,0.4611111111111111,-0.023156952774706585
minus_k8s_events,21,0.4082030458566894,0.4293650793650793,-0.009876189132216218
minus_topology_backend,22,0.3748492354684343,0.3619047619047619,-0.043229999520471296
