variant,feature_count,test_anomaly_f1,test_pr_auc,test_balanced_accuracy,delta_vs_all
all_features,27,0.7774086378737541,0.8449130374700579,0.8400504938817632,0.0
minus_datapath_stats,18,0.4982456140350877,0.5383568353679429,0.6467178976853899,-0.2791630238386664
minus_ct_gc,20,0.7033898305084746,0.8288834894501728,0.771625755565384,-0.07401880736527955
minus_k8s_events,21,0.7375415282392026,0.8231799372636129,0.8119102904319623,-0.039867109634551534
minus_topology_backend,22,0.6987951807228916,0.8096512731580152,0.7919430930266844,-0.07861345715086254
