topology,throughput_delta_rps,throughput_delta_pct,p50_delta_ms,p50_delta_pct,p99_delta_ms,p99_delta_pct,worker1_agent_cpu_delta_pct,worker2_agent_cpu_delta_pct,worker1_node_cpu_delta_pct,worker2_node_cpu_delta_pct
local,176.14999999999998,25.35%,-4.907,-35.11%,-9.457,-27.45%,5.5160000000000196,-8.655999999999977,1.0800000000000054,-1.1780000000000008
remote,-50.633334000000104,-6.21%,-0.5419999999999998,-7.71%,-2.4549999999999983,-9.37%,14.473000000000013,-0.2440000000000282,1.7520000000000024,0.029000000000003467
