label,precision,recall,f1,support
backend_churn,0.0,0.0,0.0,6
conntrack_pressure,0.5957446808510638,0.6666666666666666,0.6292134831460674,42
control_plane_recovery,0.8333333333333334,0.5,0.625,10
load_surge,0.40384615384615385,0.5,0.44680851063829785,42
path_degradation,0.6666666666666666,0.42857142857142855,0.5217391304347826,42
service_reconcile,0.2222222222222222,0.4,0.2857142857142857,10
