window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active
1779525644487,1779525645487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,33,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,700,700,0,0,0,600,30,2,1,1,2,1,1,1,2,1,0,normal,derived,0,0
1779525645487,1779525646487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,70,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,700,700,0,0,0,600,30,2,1,1,0,0,0,1,1,0,0,normal,derived,0,0
1779525646487,1779525647487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,62,15,2,0,2,2,15,15,32,15,0,0,0,0,0,0,0,702,702,0,0,0,600,30,2,1,1,0,0,0,0,1,0,0,normal,derived,0,0
1779525647487,1779525648487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,102,25,3,0,3,3,25,25,52,25,0,0,0,0,0,0,0,705,705,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525648487,1779525649487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,76,20,3,0,3,3,20,20,36,20,0,0,0,0,0,0,0,708,708,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525649487,1779525650487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,73,20,4,0,4,4,20,20,33,20,0,0,0,0,0,0,0,712,712,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525650487,1779525651487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,110,25,5,0,5,5,25,25,60,25,0,0,0,0,0,0,0,717,717,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525651487,1779525652487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,137,20,4,0,4,4,20,20,97,20,0,0,0,0,0,0,0,721,721,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525652487,1779525653487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,145,20,4,0,4,4,20,20,105,20,0,0,0,0,0,0,0,725,725,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525653487,1779525654487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,138,20,4,0,4,4,20,19,99,19,0,0,0,0,0,0,0,729,729,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525654487,1779525655487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,60,15,3,0,3,3,15,16,29,16,0,0,0,0,0,0,0,732,732,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525655487,1779525656487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,45,11,3,0,3,3,11,10,24,10,0,0,0,0,0,0,0,735,735,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525656487,1779525657487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,37,5,0,0,0,0,5,4,28,4,0,0,0,0,0,0,0,735,735,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525657487,1779525658487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,71,15,3,0,3,3,15,16,40,16,0,0,0,0,0,0,0,738,738,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525658487,1779525659487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,22,1,1,0,1,1,1,0,21,0,0,0,0,0,0,0,0,739,739,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525659487,1779525660487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,58,15,2,0,2,2,15,14,29,14,0,0,0,0,0,0,0,741,741,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525660487,1779525661487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,66,15,3,0,3,3,15,16,35,16,0,0,0,0,0,0,0,744,744,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525661487,1779525662487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,56,15,3,0,3,3,15,15,26,15,0,0,0,0,0,0,0,747,747,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525662487,1779525663487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,60,15,3,0,3,3,15,15,30,15,0,0,0,0,0,0,0,750,750,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525663487,1779525664487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,51,15,3,0,3,3,15,15,21,15,0,0,0,0,0,0,0,753,753,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525664487,1779525665487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,67,15,3,0,3,3,15,15,37,15,0,0,0,0,0,0,0,756,757,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525665487,1779525666487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,53,15,3,0,3,3,15,15,23,15,0,0,0,0,0,0,0,759,759,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525666487,1779525667487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,78,16,4,0,4,4,16,15,47,15,0,0,0,0,0,0,0,763,763,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779525667487,1779525668487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,68,14,2,0,2,2,14,15,39,15,0,0,0,0,0,0,0,765,765,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,0,1
1779525668487,1779525669487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,100,6,2,0,2,2,6,5,89,5,0,0,0,0,0,0,0,767,767,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,0,1
1779525669487,1779525670487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,56,15,2,0,2,2,15,15,26,15,0,0,0,0,0,0,0,769,769,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,0,1
1779525670487,1779525671487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,99,25,5,0,5,5,25,25,49,25,0,0,0,0,0,0,0,774,774,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525671487,1779525672487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,81,20,4,0,4,4,20,20,41,20,0,0,0,0,0,0,0,778,778,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525672487,1779525673487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,78,20,4,0,4,4,20,20,38,20,0,0,0,0,0,0,0,782,782,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525673487,1779525674487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,91,25,5,0,5,5,25,25,41,25,0,0,0,0,0,0,0,787,787,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525674487,1779525675487,1.000,path-degradation-netem-20260523T084038Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,64,15,3,0,3,3,15,15,34,15,0,0,0,0,0,0,0,790,790,1,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
