window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active
1779547298379,1779547299379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,181,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,13929,13900,0,0,0,600,30,1,0,1,1,1,1,1,2,1,0,normal,derived,0,0
1779547299379,1779547300379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,196,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,13929,13900,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547300379,1779547301379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,214,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,13929,13900,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547301379,1779547302379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,250,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,13929,13900,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547302379,1779547303379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,15233,5019,16,0,16,16,5019,5017,5197,5017,0,0,0,0,0,0,0,13945,13917,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547303379,1779547304379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,16907,5578,10,0,10,10,5578,5565,5764,5565,0,0,0,0,0,0,0,13955,13926,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547304379,1779547305379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,2546,794,0,0,0,0,794,780,972,780,0,0,0,0,0,0,0,13955,13926,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547305379,1779547306379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,7696,2510,1,0,1,1,2510,2498,2688,2498,0,0,0,0,0,0,0,13956,13928,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547306379,1779547307379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,14648,4824,18,0,18,18,4824,4808,5016,4808,0,0,0,0,0,0,0,13975,13948,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779547307379,1779547308379,1.000,phase5-on-remote,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,13260,4362,15,0,15,15,4362,4351,4547,4352,0,0,0,0,0,0,0,13991,13965,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
